Format Version,1.24,Take Name,Throw_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-27 04.48.43.958 PM,Capture Start Frame,3800917,Total Frames in Take,946,Total Exported Frames,946,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.216667,0.705748,0.704454,0.066750,0.034752,-0.674751,0.856847,0.368933,-0.642064,0.798818,0.371087,-0.629009,0.919534,0.378590,-0.719055,0.917510,0.365336,-0.708877,0.791764,0.360812,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642561,0.798794,0.371066,-0.629157,0.919208,0.378518,-0.719083,0.917394,0.365354,-0.707584,0.792754,0.360961,,,
27,0.225000,0.705741,0.704449,0.066805,0.034888,-0.674756,0.856852,0.368938,-0.642070,0.798823,0.371108,-0.629016,0.919539,0.378600,-0.719059,0.917514,0.365322,-0.708881,0.791768,0.360816,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642588,0.798816,0.371091,-0.629141,0.919215,0.378529,-0.719099,0.917387,0.365339,-0.707581,0.792752,0.360955,,,
28,0.233333,0.705768,0.704426,0.066773,0.034888,-0.674753,0.856860,0.368938,-0.642072,0.798828,0.371108,-0.629008,0.919545,0.378595,-0.719051,0.917526,0.365322,-0.708883,0.791778,0.360820,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642584,0.798819,0.371095,-0.629141,0.919209,0.378517,-0.719089,0.917406,0.365345,-0.707583,0.792757,0.360948,,,
29,0.241667,0.705756,0.704438,0.066796,0.034850,-0.674754,0.856863,0.368936,-0.642070,0.798833,0.371100,-0.629011,0.919549,0.378597,-0.719055,0.917527,0.365325,-0.708882,0.791780,0.360812,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642579,0.798818,0.371082,-0.629144,0.919214,0.378522,-0.719097,0.917412,0.365346,-0.707585,0.792752,0.360945,,,
30,0.250000,0.705730,0.704466,0.066801,0.034804,-0.674761,0.856856,0.368933,-0.642072,0.798828,0.371092,-0.629023,0.919545,0.378596,-0.719067,0.917517,0.365330,-0.708884,0.791772,0.360808,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642578,0.798807,0.371076,-0.629162,0.919216,0.378520,-0.719104,0.917398,0.365352,-0.707585,0.792753,0.360939,,,
31,0.258333,0.705738,0.704460,0.066744,0.034864,-0.674754,0.856853,0.368930,-0.642067,0.798825,0.371098,-0.629013,0.919542,0.378583,-0.719058,0.917515,0.365316,-0.708878,0.791768,0.360815,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642562,0.798804,0.371076,-0.629146,0.919222,0.378512,-0.719094,0.917388,0.365334,-0.707598,0.792760,0.360957,,,
32,0.266667,0.705725,0.704473,0.066763,0.034812,-0.674757,0.856854,0.368937,-0.642067,0.798827,0.371098,-0.629019,0.919544,0.378594,-0.719064,0.917514,0.365331,-0.708879,0.791768,0.360817,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642578,0.798804,0.371072,-0.629153,0.919227,0.378527,-0.719101,0.917394,0.365351,-0.707574,0.792754,0.360966,,,
33,0.275000,0.705739,0.704463,0.066716,0.034827,-0.674758,0.856853,0.368934,-0.642070,0.798825,0.371099,-0.629016,0.919542,0.378584,-0.719062,0.917515,0.365325,-0.708882,0.791768,0.360822,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642577,0.798811,0.371075,-0.629156,0.919209,0.378512,-0.719096,0.917395,0.365343,-0.707573,0.792761,0.360970,,,
34,0.283333,0.705784,0.704420,0.066734,0.034760,-0.674753,0.856863,0.368938,-0.642072,0.798831,0.371093,-0.629004,0.919546,0.378593,-0.719051,0.917530,0.365340,-0.708886,0.791783,0.360820,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642579,0.798818,0.371075,-0.629138,0.919209,0.378519,-0.719090,0.917418,0.365363,-0.707585,0.792764,0.360955,,,
35,0.291667,0.705738,0.704447,0.066863,0.034886,-0.674754,0.856850,0.368931,-0.642068,0.798821,0.371098,-0.629014,0.919537,0.378602,-0.719056,0.917513,0.365317,-0.708878,0.791767,0.360801,-0.352803,-0.292165,0.573061,0.679537,-0.624402,0.849600,0.391131,-0.616086,0.826327,0.407811,-0.598117,0.926980,0.408354,-0.659004,0.795493,0.357228,,,,-0.642579,0.798806,0.371083,-0.629134,0.919221,0.378528,-0.719100,0.917383,0.365338,-0.707579,0.792758,0.360931,,,
